song_name,artist_name,artist_id,release_date,album_name,lyrics,Category,Category Score
Band on the Run,Wings,348424,"{'year': 1973, 'month': 12, 'day': 5}",Band on the Run,"  Stuck inside these four walls Sent inside forever Never seeing no one nice again Like you Mama, you Mama, you   If I ever get out of here Thought of giving it all away To a registered charity All I need is a pint a day If I ever get out of here If we ever get out of here   Well, the rain exploded with a mighty crash As we fell into the sun And the first one said to the second one there ""I hope you're having fun""
 Band on the run Band on the run And the jailer man and Sailor Sam Were searching everyone For the band on the run Band on the run For the band on the run Band on the run  Well, the undertaker drew a heavy sigh Seeing no one else had come And a bell was ringing in the village square For the rabbits on the run  Band on the run Band on the run And the jailer man and Sailor Sam Were searching everyone For the band on the run Band on the run Yeah, the band on the run The band on the run The band on the run Band on the run
 Well, the night was falling as the desert world Began to settle down In the town they're searching for us everywhere But we never will be found  Band on the run Band on the run And the county judge, who held a grudge Will search forevermore For the band on the run The band on the run The band on the run Band on the run",negative,-0.616923650726676
Best Friend (Live),Wings,348424,"{'year': 1972, 'month': 8, 'day': 22}",Red Rose Speedway (Archive Collection)," Tell me why, why Why do you treat me so bad? So bad You're the best friend, a man ever had Tell me why, why Why do you make me so mad? So mad Well, you're the best friend, a man ever had  Well, I wake up in the morning I'm still dreaming 'bout you I'll tell, you pretty baby, I'm blue I wake up in the evening I'm still screaming out over you Over you  Tell me why, why Why do you treat me so bad? So bad You're the best friend, a man ever had  Well, I wake up in the morning I'm still dreaming 'bout you I'll tell, you pretty baby, I'm blue I wake up in the evening I'm still screaming out over you Over you
 Tell me why, why Why do you make me so sad? So sad You're the best friend, a man has ever had  Well, I wake up in the morning I'm still dreaming about you I'll tell, you pretty baby, I'm blue I wake up in the evening I'm still screaming out over you Over you  Tell me why, why Why do you treat me so bad? So bad You're the best friend, a man ever had You're the best friend, a man could ever have",negative,-0.6158492350950837
Beware My Love,Wings,348424,"{'year': 1976, 'month': 3, 'day': 25}",Wings at the Speed of Sound," Can't say, found out I can't tell you what it's all about I don't know, who does? I'll tell you to Beware my love, beware my love Beware my love, beware my love Beware my love, beware my love  Whoa whoa whoa! No no no! I must be wrong, baby, yeah But I don't believe that he's the one But you insist, I must be wrong I must be wrong! I have to leave, and when I'm gone I'll leave my message in my song That's right, hey  Beware my love, well he'll bowl you over Beware my love, before you're much older Hey, he'll sweep you up under his carpet You'd be in luck if you could stop it Come on now Beware my love
 Lemme tell her Well, he'll wear you out, and in a minute You'll hear a shout, and then you'll be in it So, so now beware my love, yeah, 'cause he'll take you under Beware, my love, the sound of his thunder Yeah!  I don't believe that he's the one But if you insist, I must be wrong I must be wrong But I have to leave, and when I'm gone I'll leave my message in my song That's where I'm gonna leave it, baby Come on  Beware, my love, don't you know he'll bowl you over? Beware, my love before you're much older He's gonna, yeah, he's gonna wear you out When in a minute, you'll hear a shout And then you'll be in it Baby gonna be there Ow, beware Yeah I'll be there , baby, beware Beware, beware, my love Yeah, any minute, , , , woah! I don't know if I can stand it anymore 'Cause I'm just gonna say to you my love That you better be there (Ahh)
 Can't say, I've found out I'll tell you to Beware my love Beware my love Beware my love Beware my love Beware my love Beware my love Beware my love Beware my love Beware my love Beware my love Beware my love Beware my love",negative,-0.6854324642335996
Big Barn Bed,Wings,348424,"{'year': 1973, 'month': 4, 'day': 30}",Red Rose Speedway," Who's that comin' 'round that corner? Who's that comin' 'round that bend? Who's that comin' 'round that corner? Will they, will they be my friend? (My friend)  Keep on sleepin' in a big barn bed (Keep on) Keep on sleepin' in a big barn bed (Keep on) Keep on sleepin' in a big barn bed (Keep on) Keep on sleepin' in a big barn bed (Keep on)  Dum-dum (-ee) Yeah, dum-dum (-ee) Dum-dum (-ee) Yeah, dum-dum (-ee) Who you gonna weep on, who you gonna sleep on Who you gonna creep on next? Weepin' on a willow, sleepin' on a pillow Leapin' armadillo, yes!  Keep on sleepin' in a big barn bed (Keep on, woman) Keep on sleepin' in a big barn bed (Keep on, baby) Keep on sleepin' in a big barn bed (Keep on, woman) Keep on sleepin' in a big barn bed (Keep on, baby)
 Will they, will they be my friend?  Keep on sleepin' in a big barn bed (Keep on, woman) Keep on sleepin' in a big barn bed (Keep on, baby) Keep on sleepin' in a big barn bed (Keep on, woman) Keep on sleepin' in a big barn bed (Keep on, baby)  Dum-dum (-ee) Yeah, dum-dum (-ee) Dum-dum (-ee) Yeah, dum-dum (-ee) Who you gonna weep on, who you gonna sleep on Who you gonna creep on next? (Right) Weepin' on a willow, sleepin' on a pillow Leapin' armadillo, yes!  Keep on sleepin' in a big barn bed (Keep on, woman) Keep on sleepin' in a big barn bed (Keep on, baby) Keep on sleepin' in a big barn bed (Keep on, woman) Keep on sleepin' in a big barn bed (Keep on, baby)  Keep on, woman (Keep on, keep on) Keep on, baby (Keep on, keep on) Keep on, woman (Gotta keep on, baby) Keep on, woman (Gotta keep on, baby) Keep on, woman (Gotta keep on, baby) Keep on, woman (You gotta keep on, baby) Keep on, woman",negative,-0.3742482354864478
Bip Bop,Wings,348424,"{'year': 1971, 'month': 12, 'day': 7}",Wild Life," Bip bop, bip bop, bop Bip bop, bip bop, bam Bip bop, bip bop, bop Bip bop, bip bop, bam  Take your bottom dollar, hold it in your hand (and you go) Bip bop, bip bop, bop Bip bop, bip bop, bam Why'd you hide your handbag underneath the stand? (and you go) Bip bop, bip bop, bop Bip bop, bip bop, bam  Wim wop, wim and wop Wim wop, wim and wam Wim wop, wim and wop Wim wop, wim and wam  Why'd you hide your handbag underneath the stand? (and you go) Wim wop, wim and wop Wim wop, wim and wam Put your hair in curlers, we're going to see a band Bip bop, bip bop, bop Bip bop, bip bop, bam
 Bip bop, bip bop, bop Bip bop, bip bop, bam Bip bop, bip bop, bop Bip bop, bip bop, bam  Take your bottom dollar, hold it in your hand (and you go) Bip bop, bip bop, bop Bip bop, bip bop, bam Treat me like a good boy, treat me like a man (and you go) Bip bop, bip bop, bop Bip bop, bip bop, bam  Wim wop, wim and wop Wim wop, wim and wam Wim wop, wim and wop Wim wop, wim and wam  Why'd you hide your handbag underneath the stand? Wim wop, wim and wop Wim wop, wim and wam Put your hair in curlers, we're going to see a band (and you go) Bip bop, bip bop, bop Bip bop, bip bop, bam
 Bip bop, bip bop, bop Bip bop, bip bop, bam Bip bop, bip bop, bop Bip bop, bip bop, bam  Take your bottom dollar, hold it in your hand (and you go) Bip bip bop, bip bop, bop Bip bop, bip bop, bam Take me hair in curlers, but treat me like a man (and you go) Bip bop, bip bop, bop Bip bop, bip bop, bam",neutral,0.11601978540420532
Blackbird (Live),Wings,348424,"{'year': 1976, 'month': 5, 'day': 22}",Wings Over America," Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise  Blackbird singing in the dead of night Take these sunken eyes and learn to see All your life You were only waiting for this moment to be free  Blackbird fly, blackbird fly Into the light of the dark black night  Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise  Blackbird fly, blackbird fly Into the light of the dark black night
 Blackbird singing in the dead of night Take these sunken eyes and learn to see All your life You were only waiting for this moment to be free You were only waiting for this moment to be free You were only waiting for this moment to be free",negative,-0.5871049982961267
Bluebird,Wings,348424,"{'year': 1973, 'month': 12, 'day': 5}",Band on the Run," Late at night when the wind is still I'll come flying through your door And you'll know what love is for I'm a bluebird  I'm a bluebird, I'm a bluebird, I'm a bluebird Yeah, yeah, yeah I'm a bluebird, I'm a bluebird, I'm a bluebird Yeah, yeah, yeah  Touch your lips with a magic kiss And you'll be a bluebird too And you'll know what love can do I'm a bluebird  I'm a bluebird, I'm a bluebird, I'm a bluebird Yeah, yeah, yeah I'm a bluebird, I'm a bluebird, I'm a bluebird Yeah, yeah, yeah  Bluebird (bluebird) Uh-huh Bluebird (bluebird) Uh-huh Bluebird (bluebird) --
 Fly away through the midnight air As we head across the sea And at last we will be free You're a bluebird  You're a bluebird, you're a bluebird, you're a bluebird Yeah, yeah, yeah You're a bluebird, you're a bluebird, you're a bluebird Yeah, yeah, yeah  Bluebird (bluebird) Uh-huh Bluebird (bluebird) Uh-huh Bluebird (bluebird) --  At last we will be free Bluebird, you and me At last we will be free  Bluebird (bluebird) Uh-huh Bluebird (bluebird) Uh-huh Bluebird (bluebird) --
 All alone on a desert island We're living in the trees And we're flying in the breeze We're the bluebirds  We're the bluebirds, we're the bluebirds, we're the bluebirds  Singing bluebird (bluebird) Uh-huh Bluebird (bluebird) Uh-huh Bluebird (bluebird) --",positive,0.338964303334554
Blue Moon of Kentucky (Live),Wings,348424,"{'year': 1972, 'month': 8, 'day': 21}",Wings Over Europe," Okay, it's an old time country western: Blue Moon of Kentucky! Well, blue moon of Kentucky, keep on shining Shine on the one that's gone and left me blue Well, blue moon of Kentucky, keep on shining Shine on the one that's gone and left me blue Well, blue moon of Kentucky, keep on shining Shine on the one that's gone and left me blue Well, blue moon of Kentucky, keep on shining Shine on the one that's gone and left me blue Well, it was on a moonlight night The stars were shining bright And they whispered from on high Your love has said good-bye Well, blue moon of Kentucky, keep on shining Well, shine on the one that's gone and left me blue Shine on, blue moon Well, it was on a moonlight night The stars were shining bright Wind blowing high, and my love said good-bye
Well, blue moon of Kentucky, keep on shining Shine on the one that's gone and left me blue Shine on Well, it was on a moonlight night The stars were shining bright Wind blowing high My love said good-bye Well, blue moon of Kentucky, keep on shining Shine on the one that's gone and left me blue Yeah, shine on, blue",negative,-0.2863373785900573
Café on the Left Bank,Wings,348424,"{'year': 1978, 'month': 3, 'day': 31}",London Town ," Café on the left bank, ordinary wine Touching all the girls with your eyes  Tiny crowd of Frenchmen 'round a TV shop Watching Charles de Gaulle make a speech  Dancing after midnight, sprawling to the car Continental breakfast in the bar  English-speaking people drinking German beer Talking far too loud for their ears  Café on the left bank, ordinary wine Touching all the girls with your eyes   Dancing after midnight, crawling to the car Cocktail waitress waiting in the bar
 English-speaking people drinking German beer Talkin' way too loud for their ears , , ,  , , ,   Café on the left bank Café on the left bank Café on the left bank Café on the left bank Café on the left bank Café on the left bank Café on the left bank Café on the left bank (Ordinary wine) Café on the left bank",negative,-0.29763707891106606
Cage,Wings,348424,,," Emotional moments, you left in a rage But if you could love me now, I wouldn't be in a cage Provisional license, I'm under arrest But if you could get me out, I'd like to take another test  I've been sent to tell you That the man you were with last night Is feeling sorry, sorry But he told me to tell you That he hardly ever lies But he lied to you last night  He didn't mean it, no Said he didn't mean it, no He didn't mean it, no Said he didn't mean it, no  I've been sent to tell you That the man you were with last night Is feeling lonely only for you He told me to tell you That he hardly ever cries But he cried for you last night, 
 He didn't mean it, no Said he didn't mean it, no He didn't mean it, no Said he didn't mean it, no  Emotional moment, you left in a rage But if you could love me now, I wouldn't be in a cage Dramatic performance direct from the stage But if you could get me out, I wouldn't be in a cage",negative,-0.6733154419343919
Call Me Back Again,Wings,348424,"{'year': 1975, 'month': 5, 'day': 27}",Venus and Mars," Well, when I, when I was Just a little baby boy Every night I would call Your number brought me joy  I called your house every night since then But I ain't never, no, no, never heard you calling me Come on and call me back again Come on and call me back again  I've heard your name every night since then But I ain't never, no, no, never heard you calling me Come on and call me back again Yeah, call me back again  Well when I, when I was Just a little baby boy Night after night I would call Because your number brought me joy  I've called your name every night since then But I ain't never, no, no, no, no, never heard you calling me Come on and call me back again Come on and call me back again
 Come on and come on and call me Boohooohoooboohooohoo babe, call me back again Well, won't you call me, call me back again I ain't never heard you so why won't you call me back again Every night I'm calling your name So why won't you call me back again",positive,0.47634927555918694
Children Children,Wings,348424,"{'year': 1978, 'month': 3, 'day': 31}",London Town ," I know a tiny waterfall A magic little place Where we can play together And watch the fishes race  Children, children, where are you? Hiding in the forest, playing in the rain I hope you're not too far away For me to see again   well, I know where there's a fairy Who will invite us all to tea But she won't let me in alone You'll have to come with me  Children, children, where are you? Hiding in the forest, playing in the rain I hope you're not too far away For me to see again  Start all over again
 I know a tiny waterfall A magic little place Where we can play together And watch the fishes race  Children, children, where are you? Hiding in the forest, playing in the rain I hope you're not too far away For me to see again",positive,0.2765469066798687
C Moon,Wings,348424,"{'year': 1972, 'month': 12, 'day': 1}",Red Rose Speedway," Check, , check, , check it out - Uh huh, mh-hmm Was that the intro I should have been in?  bo-bo-bo, yeah, yeah  C moon, C moon, C moon is she C moon, C moon, C moon to me  How come no one older than me Ever seems to understand The things I wanna do? It will be L7 And I'd never get to heaven If I filled my head with glue What's it all to you?  C moon, C moon, C moon is she,  C moon, C moon, C moon to me  Bobby lived with Patty But they never told her daddy What their love was all about She could tell a number That he thought of But she never was the type to let it out What's it all about?
 C moon, C moon, , C moon are we I said, C moon, C moon, C moon are we  How come no one older than me Ever seems to understand The things I wanna do? It will be L7 And I'll never get to heaven If I filled my head with glue What's it all to you?  C moon, C moon, C moon is she , C moon, C moon, C moon to me  Bobby lived with Patty But they never told her daddy What their love was all about She could tell a number That she thought of But she never wanted to let it out What's it all about?
 C moon, C moon, C moon are we C moon, C moon, C moon are we What's it all about? C moon, C moon, C moon are we C moon are we",neutral,-0.16877029463648796
Coming Up (Live at Glasgow),Wings,348424,"{'year': 1980, 'month': 4, 'day': 11}",Concerts for the People of Kampuchea," You want a love to last forever One that will never fade away I want to help you with your problem Stick around, I say  It's coming up It's coming up Coming up like a flower Coming up Yeah, you got it!  You want a friend you can rely on One who will never fade away I know you're searching for an answer Stick around, I say  It's coming up, yeah It's coming up Coming up, on the hour Coming up, yeah I like it
 You want some peace and understanding So everybody can be free I know that we can get together We hear music endlessly  It's coming up It's coming up, yeah Coming up like a flower Coming up,  I can dig it Yeah get down, get down  You want a better kind of future One that everyone can share You're not alone, we all could use it Stick around, we're nearly there  It's coming up, yeah It's coming up, alright Coming up like a flower Coming up  clap your hands come on Clap your hand
 You want a love to last forever One that will never fade away I'd like to help you with your problem Stick around, pretty baby I say  It's coming up , hey It's coming up It's coming up like a flower Coming up pretty baby I wanna say Coming up, on the hour Coming up, yeah yeah yeah Coming up pretty baby Coming up,  you better believe it Coming up Coming up like a flower Coming up",neutral,0.20170179987326264
Cook of the House,Wings,348424,"{'year': 1976, 'month': 3, 'day': 25}",Wings at the Speed of Sound," *Rain*  you're rocking a  ( no)  Ground rice, sugar, vinegar, Seco salt Macaroni too Cook of the house I'm the cook of the house No matter where I serve my guests They seem to like the kitchen best 'Cause I'm the cook of the house Cook of the house  The salad's in the bowl The rice is on the stove Green beans in the colander And where the rest is heaven only knows  Cinnamon, garlic, salt, pepper Corn-bread, curry powder, coffee too Cook of the house I'm the cook of the house No matter where I serve my guests They seem to like the kitchen best 'Cause I'm the cook of the house Cook of the house
 And the rest is heaven only knows  Cinnamon, garlic, salt, pepper Corn-bread, curry powder, coffee too Cook of the house (That's the cook of the house) I'm the cook of the house (She's the cook of the house) No matter where I serve my guests They seem to like the kitchen best 'Cause I'm the cook of the house (That's the cook of the house) Cook of the house (She's the cook of the house) Cook of the house (That's the cook of the house) I'm the cook of the house Take it fellow",neutral,0.15487483888864517
Country Dreamer,Wings,348424,"{'year': 1973, 'month': 10, 'day': 26}",Red Rose Speedway," I'd like to walk in a field with you Take my hat and my boots off too I'd like to lie in a field with you Would you like to do it too, May? Would you like to do it too?  I'd like to stand in a stream with you Roll my trousers up and not feel blue I'd like to wash in a stream with you Would you like to do it too?  You and I, country dreamer When there's nothing else to do Me  my, country dreamer Make a country dream come true  I'd like to climb up a hill with you Stand on top and admire the view I'd like to roll down a hill with you Would you like to do it too, May? Would you like to do it too?
 You and I, country dreamer When there's nothing else to do Me  my, country dreamer Make a country dream come true  I'd like to climb up a hill with you Take my hat and my boots off too I'd like to lie in a field with you Would you like to do it too, May? Would you like to do it too, May? Would you like to do it too?",positive,0.347784492187202
Crossroads Theme,Wings,348424,"{'year': 1975, 'month': 5, 'day': 27}",Venus and Mars, That's basically it,neutral,-0.14029503613710403
Cuff Link,Wings,348424,"{'year': 1978, 'month': 3, 'day': 31}",London Town ,,neutral,0.0
Daytime Nighttime Suffering,Wings,348424,"{'year': 1979, 'month': 3, 'day': 23}",Wingspan: Hits and History," What does she get for all the love she gave you There on the ladder of regret? Mighty river, give her all she gets  What does she get for all the love she gave you There on the ladder of regret? Daytime nighttime suffering is all she gets Where are the prizes for the games she entered With little chance of much success? Daytime nighttime suffering is all she gets  Come on, river, overflow Let your love for your people show Come on, river, flow through me Let your love for your people be You are the river, I am the stream Flow mighty river through me  What does it pay to play the leading lady When like the damsel in distress Daytime nighttime suffering is all she gets?
 No less (no less), no more (no more) No sea (no sea), no shore (no shore) No sand (no sand), no pail (no pail) No fairy tale anymore  Come on, river, flow through me Don't be stopped by insanity Come on, river, overflow Let your love for your neighbours grow You are the river, I am the stream Flow mighty river through me  Daytime, nighttime suffering is all she gets Daytime, nighttime suffering is all she gets, woah  Daytime, nighttime, nighttime suffering is all she gets What does she get for all the love she gave you?",negative,-0.6111932091104487
Dear Friend,Wings,348424,"{'year': 1971, 'month': 12, 'day': 7}",Wild Life," Dear friend, what's the time? Is this really the borderline? Does it really mean so much to you? Are you afraid, or is it true?  Dear friend, throw the wine I'm in love with a friend of mine Really truly, young and newly wed Are you a fool, or is it true?  Are you afraid, or is it true?  Dear friend, what's the time? Is this really the borderline? Does it really mean so much to you? Are you afraid, or is it true?  Dear friend, throw the wine I'm in love with a friend of mine Really truly, young and newly wed Are you a fool, or is it true?
 Are you afraid, or is it true?",negative,-0.4453982310369611
Deliver Your Children,Wings,348424,"{'year': 1978, 'month': 3, 'day': 31}",London Town ," Well, the rain was a-failing, and the ground turned to mud I was watching all the people running from the flood So I started to praying, though I ain't no praying man For the Lord to come-a-helping, knowing He'd understand  Deliver your children to the good good life Give 'em peace and shelter and a fork and knife Shine a light in the morning and a light at night And if a thing goes wrong, you'd better make it right  Well, I had me a woman, she was good and clean She spent all the day with the washing machine But when it come to loving, she was never around She was out getting dirty all over town  Deliver your children to the good good life Give 'em peace and shelter and a fork and knife Shine a light in the morning and a light at night And if a thing goes wrong, you'd better make it right  Well, I was low on money, and my truck broke down I was on my way to the lost and found So I took it to a dealer, I said ""make it run"" Well, I ain't got no money, but I got me a gun
I said you robbed me before, so I'm robbing you back And if it don't put you straight, it'll put you on the right track Well, I ain't no devil, and I ain't no saint But I can tell a dealer by the colour of his paint  Deliver your children to the good good life Give 'em peace and shelter and a fork and knife Shine a light in the morning and a light at night And if a thing goes wrong, you'd better make it right   Deliver your children to the good good life Give 'em peace and shelter and a fork and knife Shine a light in the morning and a light at night And if a thing goes wrong, you'd better make it right  If you want good eggs, you gotta feed that hen And if you want to hear some more, well, I'll sing it again",neutral,-0.23026642482727766
Don’t Let It Bring You Down,Wings,348424,"{'year': 1978, 'month': 3, 'day': 31}",London Town ," Though some things in life are hard to bear  Don't let it bring you down  Should the sand of time run out on you  Don't let it bring you down  Don't go down, don't go underground Things seem strange, but they change How they change  Up and down your carousel will go~  So don't let it bring you down  Don't go down, don't get out of town Get to know how it goes (Go-o-oes) How it goes (Go-o-oes)
 When the price you have to pay is high  Don't let it bring you down , don't let it bring you down",negative,-0.49783942103385925
Eat at Home (Live),Wings,348424,"{'year': 1972, 'month': 8, 'day': 21}",Wings Over Europe," Come on, little lady Lady, let's eat at home Come on, little lady Lady, let's eat at home Eat at home, eat at home  Come on, little lady Lady, let's eat in bed Come on, little lady Lady, let's eat in bed Eat in bed, eat in bed  Bring the love that you feel for me Into line with the love I see And in the morning you bring to me Love  Come on, little lady Lady, now don't do that Come on, little lady Lady, now don't do that Don't do that, don't do that
 Come on, little lady Lady, let's eat in bed Come on, little lady Lady, let's eat in bed Eat in bed, eat in bed  Bring the love that you feel for me Into line with the love I see And in the morning you bring to me Love  Come on, little lady Lady, now don't do that Come on, little lady Lady, now don't do that Don't do that, don't do that Do that, do that  no",neutral,-0.19328895770013332
