song_name,artist_name,artist_id,release_date,album_name,Lyrics
A Spaniard in the Works,John Lennon,16450,,A Spaniard in the Works,"Jesus El Pifco was a foreigner and he knew it. He had imigrateful from his little white slum in Barcelover a good thirsty year ago having first secured the handy job as coachman in Scotland. The job was with the Laird of McAnus, a canny old tin whom have a castle in the Highlads. The first thing Jesus EI Pifco noticed in early the days was that the Laird didn't seem to have a coach of any discription or even a coach house you know, much to his dismable. But - and I use the word lightly - the Laird did seem to having some horses, each one sporting a fine pair of legs. Jesus fell in love with them at first sight, as they did with him, which was lucky, because his quarters were in the actually stables along side his noble four lepered friends. Pretty polly one could see Jesus almost every day, grooming his masters horses, brushing their manebits and hammering their teeth, whistling a quaint Spanish refrain dreaming of his loved wombs back home in their little white fascist bastard huts. 'A well pair of groomed horses I must say,' he would remark to wee Spastic Sporran the flighty chamberlain, whom he'd had his good eye on eversince Hogmanose. 'Nae sa bad' she would answer in her sliced Aberdeen-martin accent. 'Ye spend more time wi' yon horses than ye do wi' me,' with that she would storm back to her duties, carefully tying her chastity negro hardly to her skim. Being a good catholic, Jesus wiped the spit from his face and turned the other cheese - but she had gone leaving him once small in an agatha of christy. 'One dave she woll go too farther, and I woll leaf her' he said to his fave rave horse. Of course the horse didn't answer, because as you know they cannot speak, least of all to a garlic eating, stinking, little yellow greasy fascist bastard catholic Spaniard. They soon made it up howevans and Jesus and wee Spastic were once morphia unitely in a love that knew no suzie. The only thing that puzzled Jesus was why his sugarboot got so annoyed when he called her his little Spastic in public. Little wonder howeapon, with her real name being Patrick, you see? 'Ye musna' call me Spastic whilst ma friends are here Jesus ma bonnie wee dwarf' she said irragated. 'But I cannot not say Patrick me little tartan bag' he replied all herb and angie inside. She looked down at him through a mass of naturally curly warts. 'But Spastic means a kind of cripple in English ma sweet wee Jesus, and ai'm no cripple as you well known! ' 'That's true enough' said he 'but I didn't not realize being a foreigner and that, and also not knowing your countries culture and so force, and anywait I can spot a cripple anywhere.' He rambled on as Patrick knelt down lovingly with tears in her eye and slowly bit a piece of his bum. Then lifting her face upwarts, she said with a voice full of emulsion 'Can ye heffer forgive me Jesus, can ye? ' she slobbed. He looked at her strangely as if she were a strangely, then taking her slowly right foot he cried; 'Parreesy el pino a strevaro qui bueno el franco senatro! ' which rugby transplanted means - 'Only if you've got green braces' - and fortunately she had. They were married in the fallout, with the Lairds blessing of course, he also gave them a 'wee gifty' as he put it, which was a useful addition to their bottom lawyer. It was a special jar of secret ointment made by generators of his forefingers to help get rid of Patricks crabs which she had unluckily caught from the Laird of McAnus himself at his late wifes (Lady McAnus') wake.
They were overjoyced, and grapenut abun and beyond the call of duty. 'The only little crawlie things we want are babies,' quipped Jesus who was a sport. 'That's right sweety' answered Patrick reaching for him with a knowsley hall. 'Guid luck to you and yours' shouted the Laird from the old wing. 'God bless you sir' said Jesus quickly harnessing his wife with a dexterity that only practice can perfect. 'Come on me beauty' he whispered as he rode his wife at a steady trot towards the East Gate. 'We mustn't miss the first race my dear.' 'Not likely' snorted his newly wed wife breaking into a gullup. 'Not likely' she repeated. The honeymood was don short by a telephant from Mrs El Pifco (his mother) who was apparently leaving Barcelunder to se her eldest sod febore she died laughing, and besides the air would do her good she added. Patrick looked up from her nosebag and giggled. 'Don't joke about Mamma please if you donlang, she are all I have loft in the world and besides your mother's a bit of a brockwurst herselves' said Jesus, 'And if she's still alive when she gets here we can throw up a party for her and then she can meet all our ugly Scottish friends' he reflected. 'On the other handle we can always use her as a scarecrab in the top field' said Patrick practically. So they packed their suitcrates marked 'his and hearse' and set off for their employers highly home in the highlies. 'We're home Sir' said Jesus to the wizened tartan figure knelt crouching over a bag of sheep. 'Why are ye bask so soon?' inquired the Laird, immediately recognizing his own staff through years of experience. 'I've had some bad jews from my Mammy - she's coming to seagull me, if its all ripe with you sir.' The Laird thought for a mumble, then his face lit up like a boiling wart. 'You're all fired' he smiled and went off whistling."
A Surprise for Little Bobby,John Lennon,16450,,In His Own Write,"It was little Bobby's birthday today, and he got a surprise. His very fist was jopped off, (The War) and he got a birthday hook! All his life Bobby had wanted his very own hook; and now on his 39th birthday his pwayers had been answered. The only trouble was they had send him a left hook and ebry dobby knows that it was Bobby's right fist that was missing as it were. What to do was not thee only problem: Anyway he jopped off his lest hand and it fitted like a glove. Maybe next year he will get a right hook, who knows?"
At the Denis,John Lennon,16450,,In His Own Write,"Madam: I have a hallowed tooth that suffer me grately. Sir: Sly down in that legchair Madam and open your gorble wide —your mouse is all but toothless. Madam: Alad! I have but eight tooth remaining (eight tooth left). Sir: Then you have lost eighty three. Madam: Impossyble. Sir: Everydobby knows there are foor decisives two canyons and ten grundies, which make thirsty two in all. Madam: But I have done everything to save my tooth. Sir: Perhumps! but to no avague. Madam: Ah! why did I not insult you sooner? Sir: To late, it must be now or neville. Madam: You will pull it out for me then? Sir: No, madman, I will excrete it. Madam: But that is very painfull.
Sir: Let me see it —Crack! there it be madarce. Madam: But sir I wished to keep (was anxious to keep) that tooth. Sir: It was all black and moody, and the others are too. Madam: Mercy —I will have none to eat with soon. Sir: A free Nasty Heath set is good, and you will look thirty years jungle. Madam: (Aside) Thirty years jungle; (Aloud) Sir I am no catholic, pull out all my stumps. Sir: O.K. Gummy."
Attica State,John Lennon,16450,"{'year': 1972, 'month': 6, 'day': 12}",Some Time in New York City," What a waste of human power What a waste of human lives Shoot the prisoners in the towers Forty-three poor widowed wives  Attica State, Attica State, we're all mates with Attica State  Media blames it on the prisoners But the prisoners did not kill ""Rockefeller pulled the trigger"" That is what the people feel  Attica State, Attica State, we're all mates with Attica State  Free the prisoners, jail the judges Free all prisoners everywhere All they want is truth and justice All they need is love and care  Attica State, Attica State, we're all mates with Attica State
 They all live in suffocation Let's not watch them die in sorrow Now's the time for revolution Give them all a chance to grow  Attica State, Attica State, we're all mates with Attica State  Come together, join the movement Take a stand for human rights Fear and hatred clouds our judgement Free us all from endless night  Attica State, Attica State We are all mates with Attica State Attica State, Attica State We all live in Attica State Attica State, Attica State Attica, Attica, Attica State"
Aü,John Lennon,16450,"{'year': 1971, 'month': 6, 'day': 6}",Some Time in New York City,"Good night! Good night, thank you! Thank you We'd like to thank Frank for having us on here Yeah, he's great, isn't he? He's the greatest"
Baby Please Don’t Go,John Lennon,16450,"{'year': 1971, 'month': 6, 'day': 6}",Some Time in New York City,"You know I love you, baby, please don't go, well, well You know I love you baby, please don't go Oh, you know I love you, honey child There's nothing that I wouldn't do for you right now You know I love you, baby, please don't go, well, well You know I need you, honey, please don't go, well, well You know I love you baby, please don't go And you know I love you, honey child There's nothing that I wouldn't do for you right now You know I love you, baby, please don't go You know I want you, honey, please don't go, well You know I want you baby, please don't go You know I love you, honey child There's nothing that I wouldn't do for you right now You know I love you, baby, please don't go, well You know I want you, honey, please don't go You know I want you baby, please don't go You know I want you, honey child There's nothing that I wouldn't do for you right now You know I love you, baby, please don't go, well"
Beautiful Boy (alternate mix),John Lennon,16450,,,"Close your eyes Have no fear The monster's gone He's on the run and your daddy's here Beautiful, beautiful, beautiful Beautiful boy Beautiful, beautiful, beautiful Beautiful boy Before you go to sleep Say a little prayer Every day in every way It's getting better and better Beautiful, beautiful, beautiful Beautiful boy Beautiful, beautiful, beautiful Beautiful boy Out on the ocean sailing away I can hardly wait To see you come of age But I guess we'll both just have to be patient 'Cause it's a long way to go A hard row to hoe Yes it's a long way to go But in the meantime
Before you cross the street Take my hand Life is what happens to you While you're busy making other plans Beautiful, beautiful, beautiful Beautiful boy Beautiful, beautiful, beautiful Beautiful boy Before you go to sleep Say a little prayer Every day in every way It's getting better and better Beautiful, beautiful, beautiful Beautiful boy Darling, darling, darling Darling Sean"
Be-Bop-A-Lula,John Lennon,16450,"{'year': 1975, 'month': 2, 'day': 17}",Rock ‘N’ Roll," Well, be-bop-a-lula, she's my baby Be-bop-a-lula, I don't mean maybe Be-bop-a-lula, she's my baby Be-bop-a-lula, I don't mean maybe Be-bop-a-lula, she's my baby love My baby love, my baby love  Well, she's the girl in the red blue jeans She's the queen of all the teens She's the woman that I know She's the woman that loves me so, say  Be-bop-a-lula, she's my baby Be-bop-a-lula, I don't mean maybe Be-bop-a-lula, she's my baby doll My baby doll, my baby Let's rock!   Well, she's the woman that's got that beat She's the woman with the flying feet She's the one walks around the store She's the one that yells more, more, more, more, say
 Be-bop-a-lula, she's my baby Be-bop-a-lula, I don't mean maybe Be-bop-a-lula, she's my baby love My baby love, my baby love Let's rock again!   Well, be-bop-a-lula, she's my baby Be-bop-a-lula, I don't mean maybe Be-bop-a-lula, she's my baby Be-bop-a-lula, I don't mean maybe Be-bop-a-lula, she's my baby love My baby love, my baby love"
Beef Jerky,John Lennon,16450,"{'year': 1974, 'month': 9, 'day': 23}",Walls and Bridges," Beef Jerky, beef jerky, beef jerky, beef jerky *Unintelligible crowd chatter* Beef, beef, beef, beef"
Be My Baby,John Lennon,16450,"{'year': 1998, 'month': 11, 'day': 2}",Rock ‘N’ Roll,"The night we met I knew I needed you so And if I had the chance I'd never let you go So won't you say you love me I'll make you so proud of me We'll make them turn their heads every place we go So won't you please (be my be my baby) Be my little baby (my one and only baby) Say you'll be my darling (be my be my baby) Be my baby now oh oh oh oh I'll make you happy baby just wait and see And for every kiss you give me I'm gonna give you three Since the day I saw you You know I was waiting for you You know I will adore till eternity So won't you please (be my be my baby) Be my little baby (my one and only baby) Say you'll be my darling (be my be my baby) Be my baby now oh oh oh oh
Instrumental Since the day I saw you You know I was waiting for you You know I will adore till eternity So won't you please (be my be my baby) Be my little baby (my one and only baby) Say you'll be my darling (be my be my baby) Be my baby now oh oh oh oh"
Best Lyrics,John Lennon,16450,,,"There are countless amazing lyrics out there, and everyone's preferences can differ. Here are a few great lyrics, along with the name of the artist who performed them: ""Imagine all the people living life in peace. You may say I’m a dreamer, but I'm not the only one. I hope someday you'll join us, and the world will be as one."" - John Lennon, ""Imaginе"" ""I see trees of green, red roses too, I see them bloom for mе and you. And I think to myself, what a wonderful world."" - Louis Armstrong, ""What A Wonderful World"" ""Oh, she may be weary, young girls they do get weary, wearing that same old shabby dress. But when she gets weary, try a little tenderness."" - Otis Redding, ""Try A Little Tenderness"" ""Somebody once told me the world is gonna roll me, I ain’t the sharpest tool in the shed. She was looking kind of dumb with her finger and her thumb in the shape of an L on her forehead."" - Smash Mouth, ""All Star"" ""Don't stop believin', hold on to that feeling. Streetlights, people, oh-oh-oh."" - Journey, ""Don't Stop Believin'"" ""I can't get no satisfaction, I can't get no satisfaction. 'Cause I try, and I try, and I try, and I try. I can’t get no, I can’t get no."" - The Rolling Stones, ""(I Can't Get No) Satisfaction"" ""And in the end, the love you take is equal to the love you make."" - The Beatles, ""The End"" ""It’s something unpredictable, but in the end it's right. I hope you had the time of your life."" - Green Day, ""Good Riddance (Time Of Your Life)"" ""Hello, darkness, my old friend. I've come to talk with you again. Because a vision softly creeping, left its seeds while I was sleeping."" - Simon & Garfunkel, ""The Sound Of Silence"" ""Cause you're a sky, ’cause you're a sky full of stars. I'm gonna give you my heart, 'cause you're a sky, 'cause you're a sky full of stars."" - Coldplay, ""A Sky Full Of Stars"""
Bless You,John Lennon,16450,"{'year': 1974, 'month': 9, 'day': 26}",Walls and Bridges," Bless you, wherever you are Windswept child on a shooting star Restless spirits depart Still we're deep in each other's hearts  Some people say it's over Now that we spread our wings But we know better, darling The hollow ring is only last year's echo  Bless you, whoever you are Holding her now Be warm and kind-hearted And remember though love is strange Now and forever our love will remain"
Blue Suede Shoes,John Lennon,16450,,Go Cat Go!,"-""Hello! A-good evening! Ah! Okay? Okay, we're just gonna do numbers that we know, you know, 'cause we've never played together before Okay"" Well, it's a one for the money, two for the show Three to get ready, now go, cat, go! Don't you step on my blue suede shoes Well, you can do anything But lay off them blue suede shoes Well, you can knock me down, step in my face Slander my name all over the place Do anything that you wanna do But, aw-aw, honey, lay off them shoes Don't you step on my blue suede shoes Well, you can do anything But lay off them blue suede shoes Well, you can burn my house, steal my car Drink my liquor from the old fruit jar Do anything that you wanna do But, aw-aw, honey, lay off them shoes
Don't you step on my blue suede shoes Well, you can do anything But lay off them blue suede shoes Well, hey! Well, it's blue, blue, blue suede shoes Hey, blue, blue, blue suede shoes Hey, blue, blue, blue suede shoes Hey, blue, blue, blue suede shoes Well, you can do anything But lay off my blue suede shoes -""Thank you!"""
Bony Moronie,John Lennon,16450,"{'year': 1975, 'month': 2, 'day': 17}",Rock ‘N’ Roll," I got a girl named Bony Moronie She's as skinny as a stick of macaroni Ought to see her rock and roll with her blue jeans on She's not very fat, just skin and bone  Well now I love her, she loves me Oh how happy, now we gonna be Making love underneath the apple tree  I told her mama and her papa too Just exactly what I'm gonna do We're gonna get married on a night in June Rock 'n' roll by the light of the silvery moon  Well now I love her, she loves me Oh how happy, now we gonna be Making love underneath the apple tree  She's my one and only, she's my heart's desire She's a real up setter, she's a real live wire Everybody's watching when my baby walks by She's so good looking, really catches the eye
 Well now I love her, she loves me Oh how happy, now we gonna be Making love underneath the apple tree Well now I love her, she loves me Oh how happy, now we gonna be Making love underneath the apple tree"
Borrowed Time,John Lennon,16450,"{'year': 1984, 'month': 1, 'day': 9}", Lennon Legend (The Very Best Of John Lennon)," When I was younger, uh huh Living confusion and deep despair When I was younger, uh huh Living illusion of freedom and power When I was younger Full of ideals and broken dreams, my friend When I was younger, uh huh Everything simple but not so clear  Living on borrowed time Without a thought for tomorrow Living on borrowed time Without a thought for tomorrow  Now I am older The more that I see, the less that I know for sure Now I am older, uh huh The future is brighter and now is the hour  Living on borrowed time Without a thought for tomorrow Living on borrowed time Without a thought for tomorrow
 Good to be older Would not exchange a single day or a year Good to be older, uh huh (You bet) Less complication, everything clear  Living on borrowed time Without a thought for tomorrow Living on borrowed time Without a thought for tomorrow  Oh yes It all seemed so bloody easy then You know like What to wear very serious like you know How am I gonna get rid of the pimples Does she really love me All that crap But now I don't bother about that shit no more I know she loves me All I gotta bother about is standing up Alright you can get out of there"
Brian Was a Beautiful Guy...He Presented Us Well (Interview),John Lennon,16450,"{'year': 1995, 'month': 11, 'day': 20}",Anthology 1," Brian was a beautiful guy, Brian Epstein And he was an intuitive, theatrical guy, and he knew we had something, and he presented us well"
Bring It On Home to Me,John Lennon,16450,,,"If you should ever change your mind About leaving, leaving me behind Oh, oh bring it to me Bring your sweet loving Bring it on home to me Yeah, yeah I'll give you tulips And money too That ain't all That ain't all I'll do for you If you'll bring it to me Bring your sweet loving Bring it on home to me I know I laughed When you left But now i know I only hurt myself Oh darling bring it to me Bring your sweet loving Bring it on home to me Yeah, yeah You know I'll always Be your slave Till I'm dead And buried in my grave So darling bring it to me Bring your sweet loving Bring it on home to me Send me some loving Send it today How can I love you When you're so far away Send me some kissing I can feel your touch I need you so badly (don't you know) I miss you so much My days so lonely My nights are so blue I'm here and I'm only Just thinking of you"
Bring It on Home to Me / Send Me Some Lovin’,John Lennon,16450,"{'year': 1975, 'month': 2, 'day': 17}",Rock ‘N’ Roll,"  If you ever change your mind About leaving, leaving me behind  Oh, you better bring it to me Bring your sweet loving Bring it on home to me Yeah (yeah), yeah (yeah), yeah (yeah)  You know I laughed, laughed when you left But now I know I only hurt myself  Oh, you better bring it to me Bring your sweet loving Bring it on home to me Yeah (yeah), yeah (yeah), yeah yeah yeah   Oh, you better bring it to me Bring your sweet loving Bring it on home to me Yeah (yeah), yeah (yeah), yeah (yeah)
 You know I'll always be your slave Until I'm dead and buried in my grave  Oh, you better bring it to me Bring your sweet loving Bring it on home to me Yeah (yeah), yeah (yeah), yeah (yeah)   Send me some loving Send it I pray How can I love you When you're so far away  Send me your picture Send it my dear So I can hold it And pretend you are here  Send me your kisses I can feel your touch I need you, I need you so bad Don't you know I miss you so much
 My days are so lonely My nights are so blue I'm here and I'm lonely Just waiting for you"
Bring On the Lucie,John Lennon,16450,,,"(Alright Boys, this is it, over the hill) One, two, three, four... We don't care what flag you're waving We don't even wanna know your name We don't care where you're from or where you're going All we know is that you came You're making all our decisions We have just one request of you - That while you're thinking things over It's something you just better do: Free the people now Do it, do it, do it, do it, do it, do it now Well, we were caught with our hands in the air Don't despair paranoia is everywhere We can shake it with love when we're scared So let's shout it aloud like a prayer Do it, do it, do it, do it, do it, do it now Do it, do it, do it, do it, do it now We don't care what rules you're playing We don't even want to play your game You think you're cool and know what you are doing And 666 is your name So while you're jerking off each other You bear this thought in mind Your time is come - you better know it But maybe you just can't read the sign
Free the people now Do it, do it, do it, do it, do it, do it now Well you were caught with your hands in the kill And you still got to swallow your pill As you slip and you slide down the hill On the blood of the people you killed Stop the killing now Stop the killing now Do it, do it, do it, do it, do it, do it now Do it, do it, do it, do it, now Do it, do it, do it, do it now Do it, do it, do it, do it, do it, do it... Ok... And two and three and four, hey! Hold on, hold on!"
Central Park Stroll,John Lennon,16450,,,"Well, here we are again. Just two average people strolling through the park"
Cleanup Time,John Lennon,16450,"{'year': 1980, 'month': 11, 'day': 17}",Double Fantasy," Bubble, bubble...  Moonlight on the water Sunlight on my face You and me together We are in our place The gods are in the heavens The angels treat us well The oracle has spoken We cast the perfect spell  The queen is in the counting house Counting out the money The king is in the kitchen Making bread and honey No friends and yet no enemies Absolutely free No rats aboard the magic ship Of perfect harmony  Now it begins - let it begin
 Cleanup time Cleanup time Cleanup time Well, well, well?  However far we travel Wherever we may roam The centre of the circle Will always be our home Yeah, yeah, yeah  Cleanup time Cleanup time Cleanup time Cleanup time Cleanup time  Cleanup time Cleanup time Cleanup time"
Cold Turkey,John Lennon,16450,"{'year': 1969, 'month': 10, 'day': 20}",Some Time in New York City," Temperature's rising Fever is high Can't see no future Can't see no sky My feet are so heavy So is my head I wish I was a baby I wish I was dead  Cold turkey has got me on the run  My body is aching Goose-pimple bone Can't see no body Leave me alone My eyes are wide open Can't get to sleep One thing I'm sure of I'm in at the deep freeze  Cold turkey has got me on the run
  Cold turkey has got me on the run  Thirty-six hours Rolling in pain Praying to someone Free me again Oh, I'll be a good boy Please make me well I promise you anything Get me out of this hell  Cold turkey has got me on the run  Oh, oh, oh, oh"
Come Together,John Lennon,16450,"{'year': 1969, 'month': 10, 'day': 6}",Live in New York City," Here come old flattop he come grooving up slowly He got joo-joo eyeball he one holy roller He got hair down to his knee Got to be a joker he just do what he please  He wear no shoeshine he got toe-jam football He got monkey finger he shoot coca-cola He say ""I know you, you know me"" One thing I can tell you is you got to be free Come together right now over me  He bag production he got walrus gumboot He got Ono sideboard he one spinal cracker He got feet down below his knee Hold you in his armchair you can feel his disease Come together right now over me  He roller-coaster he got early warning He got muddy water he one mojo filter He say ""One and one and one is three"" Got to be good-looking because he's so hard to see
Come together right now over me"
Crippled Inside,John Lennon,16450,"{'year': 1971, 'month': 9, 'day': 9}",Imagine," You can shine your shoes and wear a suit You can comb your hair and look quite cute You can hide your face behind a smile One thing you can't hide Is when you're crippled inside  You can wear a mask and paint your face You can call yourself the human race You can wear a collar and a tie One thing you can't hide Is when you're crippled inside  Well now you know that your cat has nine lives Nine lives to itself But you only got one and a dog's life ain't fun Mama take a look outside   You can go to church and sing a hymn You can judge me by the color of my skin You can live a lie until you die One thing you can't hide Is when you're crippled inside Take it, cousin!
  Well now you know that your cat has nine lives, babe Nine lives to itself You only got one and a dog's life ain't fun Mama take a look outside  You can go to church and sing a hymn You can judge me by the color of my skin You can live a lie until you die One thing you can't hide Is when you're crippled inside  One thing you can't hide Is when you're crippled inside One thing you can't hide Is when you're crippled inside One thing you can't hide Is when you're crippled inside"
Cripple Inside (Take 3),John Lennon,16450,"{'year': 2018, 'month': 10, 'day': 5}",Imagine: The Ultimate Collection,"You can shine your shoes and wear a suit You can comb your hair and look quite cute You can hide your face behind a smile One thing you can't hide Is when you're crippled inside You can wear a mask and paint your face You can call yourself the human race You can wear a collar and a tie One thing you can't hide Is when you're crippled inside Well now you know That your cat has nine lives, babe Nine lives to itself You only got one And a dog's life ain't fun Mama take a look outside  You can go to church and sing a hymn Judge me by the color of my skin You can livе a lie until you die One thing you can't hidе Is when you're crippled inside Take it, brother
 Well now you know that your cat has nine lives, babe Nine lives to itself You only got one and a dog's life ain't fun Mama take a look outside Now a suit You can comb your hair and look quite cute You can hide your face behind a smile One thing you can't hide Is when you're crippled inside One thing you can't hide Is when you're crippled inside One thing you can't hide Is when you're crippled inside"
"Deaf Ted, Danoota, (and me)",John Lennon,16450,,In His Own Write,"Thorg hilly grove and burly ive, Big daleys grass and tree We clobber ever gallup Deaf Ted, Danoota, and me. Never shall we partly stray, Fast stirrup all we three Fight the battle mighty sword Deaf Ted, Danoota, and me. With faithful frog beside us, Big mighty club are we The battle scab and frisky dyke Deaf Ted, Danoota, and me. We fight the baddy baddies, For colour, race and cree For Negro, Jew and Bernie Deaf Ted, Danoota, abd me. Thorg Billy grows and Burnley ten, And Aston Villa three We clobber ever gallup Deaf Ted, Danoota, and me. So if you hear a wonderous sight, Am blutter or at sea, Remember whom the mighty say Deaf Ted, Danoota, and me (sometimes we bring our friend, Malcolm.)"
Dear John,John Lennon,16450,"{'year': 1998, 'month': None, 'day': None}",John Lennon Anthology,"Dear John Don't be hard on yourself Give yourself a break Life wasn't meant to be run The race is over, you've won Dear John Don't be hard on yourself Give yourself a break Life wasn't meant to be run The race is over, you've won Ha da doo-doo-doo-doo Doo-doo-doo-doo-doo (Laugh) Dear John Don't be hard on yourself Give yourself a break Life wasn't meant to be run The race is over (Whistle) And dear John Put the TV on, have a snack Wash your mother's back The race is over"
Dear Yoko,John Lennon,16450,"{'year': 1980, 'month': 11, 'day': 17}",The John Lennon Collection," Wella hella hella Even after all these years I miss you when you're not here I wish you were here, my dear Yoko Even if it's just a day I miss you when you're away I wish you were here today, dear Yoko Even if it's just one night I miss you and it don't feel right I wish you were here tonight, dear Yoko Even if it's just one hour I wilt just like a fading flower Ain't nothing in the world like our love, dear Yoko  Oh, oh, Yoko I'm never, ever, ever, ever, ever gonna let you go Oh, oh, Yoko I'm never, ever, ever, ever, ever gonna let you go  Even when I'm miles at sea And nowhere is the place to be Your spirit's watching over me, dear Yoko Even when I watch T.V There's hole where you're supposed to be There's nobody lying next to me, dear Yoko
 Oh, oh, Yoko I'm never, ever, ever, ever, ever gonna let you go Oh, oh, Yoko I'm never, ever, ever, ever, ever gonna let you go  Even after all this time I miss you like the sun don't shine Without you, I'm a one track mind, dear Yoko After all is really said and done The two of us are really one The goddess really smiled upon our love, dear Yoko"
