song_name,artist_name,artist_id,release_date,album_name,lyrics,Category,Category Score
Ain’t That a Shame,Paul McCartney,1601,"{'year': 1988, 'month': 10, 'day': 31}",Сно́ва в СССР (Back in the U.S.S.R.)," You made me cry when you said goodbye Ain't that a shame? My tears fell like rain Ain't that a shame? You're the one to blame   well, goodbye, although I'll cry Ain't that a shame? My tears fell like rain Ain't that a shame? You're the one to blame You know you're the one to blame, baby  Well, you broke my heart When you said we're gonna part Well, ain't that a shame? My tears fell like rain Ain't that a shame? You're the one to blame, yeah    well, goodbye, although I'll cry Ain't that a shame? , my tears fell like rain Ain't that a shame? You're the one to blame Ain't that a shame, ain't that a shame, ain't that a shame
   well, good goodbye, although I'm gonna cry Ain't that a shame? , my tears fell like rain Ain't that a shame? You're the one to blame,     ",negative,-0.6630366104654968
A Leaf (Instrumental),Paul McCartney,1601,"{'year': 1999, 'month': 11, 'day': 1}",Working Classical,,neutral,0.0
Alligator,Paul McCartney,1601,"{'year': 2013, 'month': 10, 'day': 14}",NEW (Deluxe)," Okay  I want someone to come home to I need somewhere I can sleep I need a place where I can rest my weary bones And have a conversation not too deep  Everybody else busy doing better than me And I can see why it is They've got someone settin' 'em free Someone breaking the chains, someone letting them be  I want someone who can save me When I come home from the zoo I need somebody who's a sweet communicator I can give my alligator to  Everybody seem to know what they are talking about And I can see why it is They got someone breakin' 'em out Someone finding a key, someone settin' 'em free
 Could you be that person for me? Would you feel right setting me free? Could you dare to find my key?  I want someone who can bail me When I get up to my tricks I need somebody used to dealing with a sinner Whenever I get in a fix  Everybody else busy doing better than me And I can see why it is They've got someone settin' 'em free Someone breaking the chains, someone lettin' 'em be  Could you be that person for me? Would you feel right setting me free? Could you dare to find my key?",negative,-0.5220589876795808
All My Loving (Live / 1993),Paul McCartney,1601,"{'year': 1993, 'month': 11, 'day': 8}",Paul is Live," Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my loving to you I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home every day And I'll send all my loving to you  All my loving I will send to you All my loving, darling I'll be true  Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my loving to you
  All my loving I will send to you All my loving, darling I'll be true All my loving, all my loving  All my loving I will send to you",neutral,0.23608412500470877
All My Trials,Paul McCartney,1601,,"The 7"" Singles Box","There's only one thing that money can't buy True love, that will never die,  no, no All my trials, Lord, soon be over If religion was a thing that money could buy Well the rich would live and the poor would die All my trials, Lord, soon be over Well, the river of Jordan is chilly and cold, yeah, yeah, yeah Chills the body but not the soul, yeah All my trials, Lord, soon be over All my trials, Lord, soon be over All my trials, Lord, soon be over",neutral,0.023518458008766174
All Shook Up,Paul McCartney,1601,"{'year': 1999, 'month': 10, 'day': 4}",Run Devil Run," Well bless my soul What's wrong with me? I'm itching like a man on a fuzzy tree My friends say I'm acting wild as a bug I'm in love I'm all shook up , , , yeah, yeah, yeah  My hands are shaky and my knees are weak I can't seem to stand on my own two feet Who do you thank when you have such luck? I'm in love I'm all shook up , , mmm, yeah, yeah!  Please don't ask me what's on my mind I'm a little mixed up, but I'm feeling fine When I'm near that girl that I love best My heart beats so it scares me to death  She touched my hand what a chill I got Her lips are like a volcano that's hot I'm proud to say she's my buttercup I'm in love I'm all shook up , , mmm, yeah, yeah, yeah!
  Well now please don't ask me what's on my mind I'm a little mixed up, but I'm feeling fine When I'm near that girl that I love best My heart beats so it scares me to death  When she touched my hand, what a chill I got Her lips are like a volcano that's hot I'm proud to say that she's my buttercup I'm in love I'm all shook up , , mmm, yeah, yeah, yeah , , mmm, yeah, yeah , , mmm, baby now I'm all shook up",negative,-0.5732487721058229
All Things Must Pass,Paul McCartney,1601,"{'year': 2003, 'month': 11, 'day': 17}",Concert for George,"Sunrise doesn't last all morning A cloudburst doesn't last all day Seems my love is up and has left you with no warning It's not always going to be this grey All things must pass All things must pass away Sunset doesn't last all evening A mind can blow those clouds away After all this, my love is up and must be leaving It's not always going to be this grey All things must pass All things must pass away All things must pass None of life's strings can last So, I must be on my way And face another day Now the darkness only stays the night-time In the morning it will fade away Daylight is good at arriving at the right time It's not always going to be this grey All things must pass All things must pass away All things must pass All things must pass away",negative,-0.6184311273973435
All You Horse Riders,Paul McCartney,1601,,," Alright now All you horse riders Come on now Get your horses out Alright All you horse riders Get your horses out We're gonna go for a ride Come on Up! Now... now get up in your saddle (Yeah, now) Take your reins in your hand now Alright Let's go for a ride now All you horse riders Come on now, let's ride! Ride ride...right Now Keep them up now Right, right, yes, alright Yeah, you riding fine Ale-hop! Hold it! Now you got it, you got it
Right Now, get ready now Come on now Now get ready, everybody! Now d'you see that stream ahead? Alright, we gonna jump it Now, hold back now Get yourself steady now Now jump it!  Jump it over, over, ohhh yeah yeah Yeah ohhh you got it right! You jump it over Hold it back now Yeah Keep on riding  Come on, ride it!  Yeah, you got it now Now hold your step up now Right Ride it Ohhhh you got it Yeah, you got it right You got it right All you horse riders Yeah You got it right Now keep your step steady now You getting ready to come into the Finishing straight Finishing straight Up ahead Now watch out now You got it now Ride it ride it Yeah you riding now Now Hold it, yeah Hold now Come on now Steady up now Right there All you horse riders, right there Yeah you ridin' fine You ridin' wild Ohh yes, you riding Ridin' Move in, alright
 Warm down now, warm down Ready now Calming all out Slow now alright Slow now..alright, whohh, whohhhh Whoah, whohhh, whohhhh All you horse riders",neutral,0.24277788400650024
All You Horse Riders / Blue Sway,Paul McCartney,1601,"{'year': 2011, 'month': None, 'day': None}",McCartney II (Archive Collection),"All You Horse Riders Alright Now All you horse riders Come on now Get your horses out Alright All you horse riders Get your horses out We're gonna go for a ride Come on Up! Now... now get up in your saddle (Yeah, now) Take your reins in your hand now Alright Let's go for a ride now All you horse riders Come on now, let's ride! Ride ride...right Now Keep them up now Right, right, yes, alright
Yeh, you riding fine Ale-hop! Hold it! Now you got it, you got it... Right... Now, get ready now Come on now Now get ready, everybody! Now d'you see that stream ahead? Alright, we gonna jump it Now, hold back now Get yourself steady now Now jump it! Now jump it...jump it...over, over, ohhh yeah yeah Yeah ohhh you got it right! You jump it over Hold it back now Yeah Keep on riding Keep on riding Come on, ride it! Come on ride it! Yeah, you got it now
Now hold your step up now Right Ride it Ohhhh you got it Yeah, you got it right You got it right All you horse riders Yeah You got it right Now keep your step steady now You getting ready to come into the Finishing straight Finishing straight Up ahead Now watch out now You got it now Ride it ride it Yeah you ridin' now Come on now Steady up now Right there All you horse riders, right there Yeah you ridin' fine You ridin' wild
Ohh yes, you ridin' Ridin' Move in, alright Warm down now, warm down Ready now Calming all out Slow now alright Slow now..alright, whohh, whohhhh Whoah, whohhhw, whohhhhww... All you horse riders",positive,0.2752814268072446
A Love For You,Paul McCartney,1601,"{'year': 2003, 'month': 5, 'day': 10}",," When you met me (, ) Everything was rosy, ,  If you let me (, ) Everything must surely work out fine When you go (, ) Everything that's rosy turns to pieces You know (, ) Everything will go under, believe me  Where will I run to? Where would I hide? If you ever leave me by my side (Do do, do do, do do, do do) Where will I run to? What would I do? I really will, I really can, I really do I really have a love for you  Now, if you get me (, ) That could save a thousand conversations Don't upset me (, ) Everything is cosy here tonight If I move (, ) You'd be standing by, it would make a difference Is it true? (, ) Are you coming through, or were you just leaving?
 Where will I run to? Where would I hide? If you ever leave me by my side (Do do, do do, do do, do do) Where will I run to? Baby, where, where would I hide? I really will, I really can, I really do I really have a love for you Yes, I do (Yes, I do)  Yeah, when you met me (, ) Everything was rosy When you let me (, ) Everything must surely work out fine (, )  ,  ,  , ,  ,   Baby, baby, baby, baby, baby, ,  ,   Would you ever leave me?  Yeah, where will I run to? Where would I hide? If you ever leave me by my side (Do do, do do, do do, do do) Where will I run to? Baby, baby, what can I do? I really will, I really can, I really do I really have a love for you
 , yeah , yeah yeah yeah  yeah  yeah yeah yeah That's right Baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, I do I really have a love for you, yeah Have a love for you, yeah Have a love for you, yeah",neutral,0.23681852174922824
Always,Paul McCartney,1601,"{'year': 2012, 'month': 2, 'day': 6}",Kisses on the Bottom," Everything went wrong And the whole day long I'd feel so blue For the longest while I'd forget to smile Then I met you Now that my blue days have passed Now that I've found you at last  I'll be loving you, always With a love that's true, always When the things you've planned Need a helping hand I will understand Always, always  Days may not be fair, always That's when I'll be there, always Not for just an hour Not for just a day Not for just a year But always
  Mmm, days may not be fair, always But that's when I'll be there, always Not for just an hour No, not for just a day Not for just a year But always",neutral,-0.17877470701932907
And I Love Her (Unplugged),Paul McCartney,1601,"{'year': 1991, 'month': 5, 'day': 20}",Unplugged (The Official Bootleg),"I give her all my love That's all I do And If you saw my love You'd love her, too I love her She gives me everything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her",positive,0.6321401186287403
Angel In Disguise (Demo),Paul McCartney,1601,,Angel In Disguise,,neutral,0.0
Angry,Paul McCartney,1601,"{'year': 1986, 'month': 8, 'day': 25}",Press to Play," What the hell gives you the right to tell me what to do with my life? Especially when you made a mess of every chance you had at success Look at you, just look at you I said, I'm angry just looking at you , come on  Well, I'm sick and tired of sitting back and listening to all of your clap-trap (Clap-trap) If you could get me to take the rap, I guarantee you'd leave me with a backslap (Backslap) Push me to the left, push me to the right, try to take me out of the way Even when you kick me off the edge of the world, you're still gonna hear me say  What the hell gives you the right to tell me what to do with my life? Especially when you made a mess of every chance you had at success Look at you, , look at you I said, I'm angry just looking at you  Shouting down again Mahama Shouting down again Shouting down again Mahama Shouting down again Shouting down, shouting down
 I can't begin to tell you all the reasons why you're making me crazy (Crazy) I've got so many answers, like you're stupid, like you're crooked, like you're lazy (Lazy) Hit me with your left, hit me with your right, kick me from the top to the toe Even when you chew me up and spit me out, I'm still gonna want to know  What the hell gives you the right to tell me what to do with my life? Especially when you made a mess of every chance you had at success Look at you, look at you I said, I'm angry just looking at you Looking, shouting,   Shouting down again Mahama Shouting down again Shouting down again Mahama Shouting down again  Shouting down, shouting down Angry, angry What the hell gives you the right?",negative,-0.710015498829307
Another Day,Paul McCartney,1601,"{'year': 1971, 'month': 2, 'day': 19}",All the Best!," Every day, she takes a morning bath, she wets her hair Wraps a towel around her as she's heading for the bedroom chair It's just another day Slipping into stockings, stepping into shoes Dipping in the pocket of her raincoat It's just another day  At the office where the papers grow, she takes a break Drinks another coffee, and she finds it hard to stay awake (another) It's just another day  Du du du du du du, it's just another day Du du du du du du, it's just another day  So sad, so sad Sometimes she feels so sad Alone in apartment, she'd dwell Till the man of her dreams comes to break the spell , stay, don't stand her up And he comes, and he stays, but he leaves the next day So sad Sometimes she feels so sad
 As she posts another letter to The Sound of Five People gather around her, and she finds it hard to stay alive (another) It's just another day  Du du du du du du, it's just another day Du du du du du du, it's just another day  So sad, so sad Sometimes she feels so sad Alone in apartment, she'd dwell Till the man of her dreams comes to break the spell , stay, don't stand her up And he comes, and he stays, but he leaves the next day So sad Sometimes she feels so sad  Every day, she takes a morning bath, she wets her hair Wraps a towel around her as she's heading for the bedroom chair (another) It's just another day Slipping into stockings, stepping into shoes Dipping in the pocket of her raincoat It's just another day
 Du du du du du du, it's just another day Du du du du du du, it's just another day",negative,-0.5959849924935648
Anyway,Paul McCartney,1601,"{'year': 2005, 'month': 9, 'day': 13}",Chaos and Creation in the Backyard," If you love me Won't you call me? I've been waiting Waiting too long In my soul is Constant yearning Always singin' Singin' this song  Only love is strong enough To take it on the chin When did I begin to fall?  Anyway Anyway You can make that call You feel free to make yourself At home () ()  If we could be Closer longer That would help me Help me so much We can cure each other's sorrow Won't you please, please, please get in touch?
 If our love is strong enough It may never end Why would I pretend to fall?  Anyway Anyway You can make that call You feel free to make yourself At home ()  Anyway Anyway Anyway at all Anyway you can make that call",neutral,-0.0354864876717329
Appreciate,Paul McCartney,1601,"{'year': 2014, 'month': 5, 'day': 16}",NEW (Deluxe)," (Appreciate, appreciate, appreciate)  Lift up your head and remember what your life is Don't have to give it all away (Appreciate, appreciate, appreciate) When you're left for dead in the middle of a crisis You must appreciate the day (Appreciate, appreciate, appreciate)  There's something there, but you're frightened to invite it Beware of pushing it away (Appreciate, appreciate, appreciate) Show that you care, and be certain you don't fight it You must appreciate the day (Appreciate, appreciate, appreciate)  She says you don't give back what you take She got evidence you don't appreciate her love,  yeah She says it's all a show and no-go You drop everything, give back Reciprocate her love
 (Appreciate, appreciate, appreciate)  Lift up your head and remember what your life is Don't have to give it all away (Appreciate, appreciate, appreciate) When you're left for dead in the middle of a crisis You must appreciate the day (Appreciate, appreciate, appreciate)  She says you don't give back what you take She got evidence you don't appreciate her love,  yeah She says it's all a show and no-go You drop everything, give back Reciprocate her love  (Appreciate, appreciate, appreciate)  There's something there, but you're frightened to invite it Beware of pushing it away (Appreciate, appreciate, appreciate) Show that you care, and be certain you don't fight it You must appreciate the day (Appreciate, appreciate, appreciate)
 (Appreciate, appreciate, appreciate Appreciate, appreciate, appreciate Appreciate, appreciate, appreciate Appreciate, appreciate, appreciate)",neutral,-0.0848023021244444
A Room with a View,Paul McCartney,1601,"{'year': 1998, 'month': None, 'day': None}",Twentieth-Century Blues: The Songs of Noël Coward,"A room with a view and you And no one to worry us No one to hurry us through this dream we've found We'll gaze at the sky and try To guess what it's all about Then we we will figure out why the world is round We'll be as happy and contented as birds upon a tree High above the mountains and sea We'll build and we'll coo -oo-oo- And sorrow will never come , will it ever come true, a room room with a view We'll build and we'll coo -oo-oo- And sorrow will never come , will it ever come true, a room room with a view Oo-oo, a room with a view",positive,0.5518921636976302
Atlantic Ocean,Paul McCartney,1601,"{'year': 1995, 'month': 1, 'day': 1}",Young Boy #2 (EP)," Uh! Hit it! Uh! Hit it out!  Stolen black man, family lost Packed as cargo, ship was tossed Now survives to count the cost He feels the rhythm of the Atlantic Ocean The rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean The rhythm  Uh, uh, uh, uh-uh  British pirate ruled the sea In Trinidad to Bimini Now he has eternity to feel Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm, the rhythm
 Ocean liners come and go Sending sailors to and fro Whale and dolphin down below Listen to the rhythm  Foreign artists stows away Wants to reach the USA Lives to paint another day And feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Listen to the rhythm  Off the bus from Penny Lane Young musicians took a plane Got invited back again Uh, uh, uh To feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Uh, feel the rhythm of the Atlantic Ocean Feel the rhythm, uh-uh  Yeah, yeah Yeah
 The rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm Uh uh uh-uh-uh  Feel the rhythm of the Atlantic Ocean Yeah, feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean I feel the rhythm of the Atlantic Ocean Feel the rhythm, -, of the Atlantic Ocean,  Feel the rhythm, -, of the Atlantic Ocean, --  Uh- Doo, doo, doo  Ocean liners come and go Sending sailors to and fro Whale and dolphins down below Aah -  Foreign artist stows away Wants to reach the USA Lives to paint another day And feel the rhythm of the Atlantic Ocean They feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm, -, yeah, the Atlantic Ocean, uh-uh Yeah, feel the rhythm -, of the Atlantic Ocean, uh-uh-
  Hey-hey, yeah  Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm, woh--, of the Atlantic Ocean Doo-doo-doo-doo  Feel the rhythm, -, of the Atlantic Ocean, - Yeah, feel the rhythm of the Atlantic Ocean I feel the rhythm of the Atlantic Ocean I feel the rhythm of the Atlantic Ocean I feel the rhythm of the Atlantic Ocean Yeah, i feel the rhythm of the Atlantic Ocean I feel the rhythm of the Atlantic Ocean Feel the rhythm, feel the rhythm, of the Atlantic Ocean, Atlantic Ocean Feel the rhythm, feel the rhythm, of the Atlantic Ocean, Atlantic Ocean Feel the rhythm, feel the rhythm, of the Atlantic Ocean, Atlantic Ocean Feel the rhythm of the Atlantic Ocean Yeah Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean Feel the rhythm of the Atlantic Ocean",neutral,-0.10528835623214643
At the Mercy,Paul McCartney,1601,"{'year': 2005, 'month': 9, 'day': 12}",Chaos and Creation in the Backyard," At the mercy, at the mercy At the mercy of a busy road Who can handle such a heavy load? At the mercy, at the mercy At the mercy of a busy day We can think of nothing more to say  If you show me love, I won't refuse I know you'd never make me choose Between the love I've got And the love I'd lose Sometimes, I'd rather run and hide Than stay and face the fear inside  At the mercy, at the mercy At the mercy of a busy day Who can bear to turn their head away? At the mercy, at the mercy At the mercy of a busy road We can watch the universe explode  If you take me up, I won't say no I guess you'd rather see me grow Into a better man than the one you know Sometimes, my head is hanging low It's time to get on with the show
 At the mercy, at the mercy At the mercy of a busy day I can think of nothing more to say",negative,-0.5336340116336942
Average Person,Paul McCartney,1601,"{'year': 1983, 'month': 10, 'day': 28}",Pipes of Peace," Look at the average person Speak to the man in the street Can you imagine the first one you'd meet?  Well, I'm talking to a former engine driver (Driver) Trying to find out what he used to do Tells me that he always kept his engine (Engine) Spit and polished up as good as new But he said his only great ambition Was to work with lions in a zoo (, to work with lions in a zoo) Yes dear, you heard right Told me his ambition was to work with lions every night  Look at the average person Speak to the man on the beat Can you imagine the first one you'd meet?  Well, I met a woman working as a waitress (Waitress) I asked exactly what it was she did Said she worked the summer crowd at seasides (Seasides) Winter time she ran away and hid Once she had a Hollywood audition But the part was given to a kid Yes, the part was given to a kid Yes sir, you heard right Hollywood ambition made a starlet grow up overnight
  Well I bumped into a man who'd been a boxer (Boxer) Asked him what had been his greatest night He looked into the corners of his memory (Memory) Searching for a picture of the fight But he said he always had a feeling That he lacked a little extra height (Could've used a little extra height) Yes mate, you heard right He always had a feeling that he might have lacked a little height  Look at the average person Speak to the man in the queue Can you imagine the first one is you?  Look at the average person",neutral,-0.17709527537226677
Baby Face (Live at Amoeba),Paul McCartney,1601,"{'year': 2019, 'month': 7, 'day': 12}",Amoeba Gig," This song you might wanna join in with! , Baby Face You've got the cutest little baby face There's not another who can take your place , Baby Face My poor heart is jumpin' You sure have started somethin' Baby Face I'm up in heaven when I'm in your fond embrace I didn't need a shove, 'cause I went and fell in love With my pretty little baby Talkin bout a little baby Pretty, pretty little baby face New ending! Yeah",positive,0.6433203238993883
Baby’s Request,Paul McCartney,1601,"{'year': 2012, 'month': 2, 'day': 7}",Kisses on the Bottom," When the moon lays his head on a pillow And the stars settle down for a rest Just do me one small favor, I beg you Please play me my baby's request  It’s the song that we heard when we started Now the birds have all flown from our nest But you could bring back memories departed By playing my baby's request  My baby said that she knows how it goes But you're the one who really knows So go ahead, just one more time and then we’ll go to bed  My baby says she knows how it goes But you're the one that really knows So go ahead, just one more time and then we'll go to bed  When the moon lays his head on a pillow And the star settles down for a rest Just do me one small favor, I beg you Play me my baby's request Play me my baby's request Please play me my baby's request",neutral,0.1731704007834196
Back in Brazil,Paul McCartney,1601,"{'year': 2018, 'month': 9, 'day': 7}",Egypt Station (Target Exclusive)," Back in Brazil There lives a girl Dreams of the future And a far, far better world Back in Brazil She meets a man He's tall and handsome And he fits in with her plan  Bright lights ahead Music and fun Nights are for dancing And the days are for the sun All kinds of weather Will surely come and go But they're together And together they will steal the show  Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiba-ba-ba-ba-ba-ba-ban!  Back in Brazil She makes a date He has to cancel 'Cause they got him working late Back in Brazil She feels afraid Hope starts to crumble And her dreams begin to fade
 Her lights are out She's gone to bed Nights are for sleeping If a girl's to get ahead Even the weather Has started changing too But they'll be together And together, they will make it through Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiban!  So we raise a family As the clouds roll by Making pictures of us in the sky The kids are happy And they don't ask why Ba-ba-ba-ba-ba, you and I",neutral,0.13742919266223907
