song_name,artist_name,artist_id,release_date,album_name,Lyrics
Ain’t She Sweet (Anthology 1 version),The Beatles,586,"{'year': 1960, 'month': None, 'day': None}",Ain’t She Sweet," Oh ain't she sweet? Well see her walking down that street Yes I ask you very confidentially Ain't she sweet?  Oh ain't she nice? Well look her over once or twice Yes I ask you, very confidentially Ain't she nice?  Just cast an eye In her direction Oh me, oh my Ain't that perfection?  Oh I repeat Well don't you think that's kind of neat? Yes I ask you, very confidentially Ain't she sweet?  Oh ain't she sweet? Well see her walking down that street? Yes I ask you, very confidentially Ain't she sweet?
 Oh ain't she nice? Well look her over once or twice Yes I ask you, very confidentially Ain't she nice?  Just cast an eye In her direction Oh me, oh my Ain't that perfection?  Oh I repeat Well don't you think that's kind of neat? Yes I ask you, very confidentially Ain't she sweet?  Oh ain't she sweet? Well see her walking down that street? Well I ask you, very confidentially Ain't she sweet? Well I ask you, very confidentially Ain't she sweet?"
A Little Rhyme,The Beatles,586,,,"  Now, for the final number, John's got a card in his hand with a little rhyme on it. What is it?  It's from the form up a third at Hemel Hempstead  Oh!  It says, ""Dear George, John, Ringo, Paul, here's hoping that you'll please us all A beauty song and swinging voice, we leave it up to you, the choice We think you're fab and really cool, so brighten up our lads at school"" Dig this, for here's Paul, whistling ""Clarabella"""
All I’ve Got to Do,The Beatles,586,"{'year': 1963, 'month': 11, 'day': 22}",With the Beatles," Whenever I want you around, yeah All I got to do Is call you on the phone And you'll come running home Yeah, that's all I got to do  And when I, I want to kiss you, yeah All I got to do Is whisper in your ear The words you long to hear And I'll be kissin' you  And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me  And when I, I want to kiss you, yeah All I got to do Is call you on the phone And you'll come runnin' home Yeah, that's all I got to do
 And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me"
All My Loving,The Beatles,586,"{'year': 1963, 'month': 11, 'day': 22}",With the Beatles," Close your eyes and I'll kiss you Tomorrow, I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my lovin' to you  I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home every day And I'll send all my lovin' to you  All my lovin' ( Ooh ), I will send to you All my lovin' ( Ooh ), darlin', I'll be true  Close your eyes and I'll kiss you Tomorrow, I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my lovin' to you
 All my lovin' ( Ooh ), I will send to you All my lovin' ( Ooh ), darlin', I'll be true, huh  All my lovin' ( Ooh ), huh, all my lovin', ooh All my lovin' ( Ooh ), huh, I will send to you"
All Things Must Pass (Demo),The Beatles,586,"{'year': 1993, 'month': 3, 'day': 10}",Anthology 3, Sunrise doesn't last all morning A cloudburst doesn't last all day Seems my love is up And has left you with no warning But it's not always going to be this grey  All things must pass All things must pass away  Sunset doesn't last all evening A mind can blow those clouds away After all this my love is up And must be leaving It has not always been this grey  All things must pass All things must pass away  All things must pass None of life's strings can last So I must be on my way And face another day  Now the darkness only stays at nighttime In the morning it will fade away Daylight is good At arriving at the right time It's not always going to be this grey  All things must pass All things must pass away All things must pass All things must pass away
All Together Now,The Beatles,586,"{'year': 1969, 'month': 1, 'day': 13}",Yellow Submarine," One, two, three, four Can I have a little more? Five, six, seven, eight, nine, ten, I love you  A, B, C, D Can I bring my friend to tea? E, F, G, H, I, J, I love you  (Bom bom bom bompa bom) Sail the ship (Bompa bom) Chop the tree (Bompa bom) Skip the rope (Bompa bom) Look at me  (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now  Black, white, green, red Can I take my friend to bed? Pink, brown, yellow, orange and blue, I love you
 (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now  (Bom bom bom bompa bom) Sail the ship (Bompa bom) Chop the tree (Bompa bom) Skip the rope (Bompa bom) Look at me  (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now
(All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now"
All Together on the Wireless Machine,The Beatles,586,,,When I was sitting on my piano one day A magical thought came my way To write a number for the BBC Kenny Everett McCartney All together on the wireless machine Kenny Everett McCartney All together on the wireless machine Kenny Everett McCartney All together on the wireless machine
All You Need Is Love,The Beatles,586,"{'year': 1967, 'month': 7, 'day': 7}",Magical Mystery Tour," Love, love, love Love, love, love Love, love, love  (Love) There's nothing you can do that can't be done (Love) Nothing you can sing that can't be sung (Love) Nothing you can say, but you can learn how to play the game It's easy  (Love) Nothing you can make that can't be made (Love) No one you can save that can't be saved (Love) Nothing you can do, but you can learn how to be you in time It's easy  All you need is love All you need is love All you need is love, love Love is all you need  Love, love, love Love, love, love Love, love, love
 All you need is love All you need is love All you need is love, love Love is all you need  (Love) There's nothing you can know that isn't known (Love) Nothing you can see that isn't shown (Love) There's nowhere you can be that isn't where you're meant to be It's easy  All you need is love All you need is love All you need is love, love Love is all you need  All you need is love ( All together now ) All you need is love (Everybody) All you need is love, love Love is all you need Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Irru! Yehey!) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Yesterday) Oh, love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Oh, yeah) Love is all you need (Love is all you need) (She loves you, yeah, yeah, yeah) (She loves you, yeah, yeah, yeah) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Woohoo!) Love is all you need (Love is all you need) (Woohoo!) Love is all you need (Love is all you need) (Oh, yesterday) Love is all you need (Love is all you need) Love is all you need (Love is all you need)"
And Here We Are Again,The Beatles,586,,On Air – Live At The BBC Volume 2,"And Here we are again with another half hour of the 1963 sound with The Beatles, That's John Lennon, Paul McCartney, George Harrison and Ringo Starr and who are you my man, I thought you’d never ask. My name's Rodney Burke thank you very much, that's your fault!"
And I Love Her,The Beatles,586,"{'year': 1964, 'month': 7, 'day': 20}",A Hard Day’s Night," I give her all my love That's all I do And if you saw my love You'd love her too I love her  She gives me everything And tenderly The kiss my lover brings She brings to me And I love her  A love like ours Could never die As long as I Have you near me  Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her
  Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her"
And Your Bird Can Sing,The Beatles,586,"{'year': 1966, 'month': 6, 'day': 20}",Yesterday and Today," You tell me that you've got everything you want And your bird can sing But you don't get me You don't get me  You say you've seen seven wonders And your bird is green But you can't see me You can't see me  When your prized possessions Start to weigh you down Look in my direction I'll be 'round, I'll be 'round   When your bird is broken Will it bring you down? You may be awoken I'll be 'round, I'll be 'round
 You tell me that you've heard every sound there is And your bird can swing But you can't hear me You can't hear me "
Anna (Go to Him),The Beatles,586,"{'year': 1963, 'month': 3, 'day': 22}",Please Please Me," Anna You come and ask me, girl To set you free, girl You say he loves you more than me , so I will set you free Go with him (Anna) Go with him (Anna)  Anna Girl, before you go now I want you to know, now That I still love you so, but if he loves you more Go with him  All of my life I've been searching for a girl To love me like I love you Oh, now, but every girl I've ever had Breaks my heart and leaves me sad What am I, what am I supposed to do? Oh-oh-oh-oh-oh-oh  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him
 All of my life I've been searching for a girl to love me like I love you But let me tell you now But every girl I've ever had breaks my heart and leaves me sad What am I, what am I supposed to do? Oh-oh-oh-oh-oh-oh  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him (Anna)  Go with him (Anna) You can go with him, girl (Anna) Go with him"
Another Beatles Christmas Record,The Beatles,586,"{'year': 1964, 'month': 12, 'day': 18}",The Beatles’ Christmas Album,"(All): (Singing) Jingle bells... (P): Hello, everybody, this is Paul, and I'd just like to thank you all for buying our records during the past year. We know you've been buying 'em because the sales have been very good, you see. Don't know where we'd be without you, really though (J): In the army, perhaps (P): Oh, we hope you've enjoyed listening to the records as much as we've enjoyed melting them - No, no, no, that's worng. - making them. We're in No. 2 studio at the moment, at EMI, taping this little message for you (J): Yes, we are (P): We are indeed. I just thought I'd make that... This is the same studio we've used all along - since the old days of ""Love Me Do"" - many years ago it seems, doesn't it? (J): Ah, those were the days ... (P): Well, that's about all, I think. Except, to wish you all a Happy Christmas and a very New Year! Now I'll pass you over to John. John! (J): John. John speakin'. Thanks all of you who bought me book. Thank you folks for buying it. It was very handy. And there's another one out pretty soon, it says here. Hope you buy that, too. It'll be the usual rubbish but it won't cost much. You see, that's the bargain we're going to strike up. I write them in my spare time, it says here. It's been a busy year... (P): Did you write this yourself? (J): No! It's somebody's bad handwroter. It's been a busy year Beatle peadles, one way and another. But it's been a great year, too. You fans have seen to that. Page 2. Thanks a lot folks and a hap-py, ah, Christmas and a merry goo-year. Crimble maybe. And I'll hand you to George who will speak to you - now! (G): Thank you John. Thank you. Hi there! I'd like to thank all of you for going to see the film. 'spect a lot of you saw it more than once (R): I did
(G): Did you? So did I. Thanks anyway. 'Cause it makes us very pleased, ya know. We had a quiet time making it. Actually, we didn't. We had a great time making it. And we're glad it turned out okay. The next one should be completely different. We start shooting it in February. This time it's gonna be in color (J): Green (G): It'll be a big laugh we hope. (Ha ha ha!) Well, we ... Big laugh, ha ha ha, yeah, it'll be a big laugh (J): Be a big laugh, you imagine? (G): And we may see all of you soon. Hope so anyway. All the best. And, happy New Year. And a Happy Christmas. And here's Ringo! (R): Thanks, Geroge. Ringo here. Well, the others have thanked you for the discs and John's book and for everything - oh, no - for enjoying the film. I'd like to thank you just for being fans. It's been a funny year, you know. One minute we're in England, next, we're away. 'spect you're wondering where we've been. Well, Beatle people, we've been to Australia and America and New (*crash*) - who's dropping that? - New Zealand and Australia... (P): And New Zealand (R): Ha ha! Or is that New Zealand? So much travelling! But you've stayed loyal, haven't you? Anyway, those airport receptions knocked us out, man, great! (J): Dig! (R): Well, that's about it from me. I'd just like to say, all the best for Christmas and happy new year. That's about it (All) (Singing): Oh, can you wash your father's shirt Can you wash it clean? Oh, can you wash your father's shirt Can you wash it clean? Oh, can you wash your father's shirt Can you wash it clean? Oo
Christmas! (Happy Christmas, everybody!) Happy Christmas! Happy Christmas! Happy Christmas! Happy Christmas! Yeah! Happy Christmas! Happy Christmas! (J): Christmas! (P): Happy Christmas! (All): Happy Christmas! Happy Christmas! Chrismas! Happy Christmas!"
Another Girl,The Beatles,586,"{'year': 1965, 'month': 8, 'day': 6}",Help!," For I have got Another girl Another girl  You're making me say that I've got nobody but you But as from today, well, I've got somebody that's new I ain't no fool and I don't take what I don't want  For I have got Another girl Another girl  She's sweeter than all the girls and I met quite a few Nobody in all the world can do what she can do And so I'm telling you, ""This time you'd better stop""  For I have got Another girl Another girl  Who will love me till the end Through thick and thin She will always be my friend
 I don't want to say that I've been unhappy with you But, as from today, well, I've seen somebody that's new I ain't no fool and I don't take what I don't want  For I have got Another girl Another girl  Who will love me till the end Through thick and thin She will always be my friend  I don't want to say that I've been unhappy with you But, as from today, well, I've seen somebody that's new I ain't no fool and I don't take what I don't want  For I have got Another girl Another girl Another girl"
Anthology 3 [Booklet],The Beatles,586,"{'year': 1996, 'month': 10, 'day': 28}",Anthology 3,                      
Any Time at All,The Beatles,586,"{'year': 1964, 'month': 7, 'day': 10}",A Hard Day’s Night," Any time at all Any time at all Any time at all, all you gotta do is call And I'll be there  If you need somebody to love, just look into my eyes I'll be there to make you feel right If you're feeling sorry and sad, I'd really sympathize Don't you be sad, just call me tonight  Any time at all Any time at all Any time at all, all you gotta do is call And I'll be there  If the sun has faded away, I'll try to make it shine There is nothing I won't do When you need a shoulder to cry on , I hope it will be mine Call me tonight and I'll come to you  Any time at all Any time at all Any time at all, all you gotta do is call And I'll be there
  Any time at all Any time at all Any time at all, all you gotta do is call And I'll be there  Any time at all, all you gotta do is call And I'll be there"
A Picture Of You,The Beatles,586,,,"In the night, there are sights to be seen Stars like jewels on the crown of a Queen But the only sight I wanna view Is that wonderful picture of you On a Streetcar, or in the café All of the evening, and most of the day My mind is in a maze what can I do? I still see that picture of you It was last summer, I fell in love My heart told me what to do I saw you there on the crest of a hill An' I took a little picture of you Then you were gone, like a dream in the night With you went my heart, my love and my life I didn't know your name, what could I do? I only had a picture of you Then you were gone, like a dream in the night With you, went my heart, my love and my life I didn't know your name, what could I do? I only had a picture of you, oh yeah That wonderful picture of you I'm left with a picture of, oh yeah That wonderful picture of you"
A Shot Of Rhythm And Blues,The Beatles,586,,," Well, if your hands start a-clapping And your fingers start a-popping And your feet start a-moving around And if you start to swing and sway When the band starts to play A real cool way out sound And if you get to can't help it And you can't sit down You feel like you gotta move a round  You get a shot of rhythm and blues With just a little rock and roll on the side Just for good measure  Get a pair of dancing shoes Well, with your lover by your side Don't you know you're going to have a lot of pleasure?  Don't you worry about a thing if you start to dance and sing And chills coming up on you And if the rhythm finally gets you and the beat gets you too Well, here's something for you to do
    Get a shot of rhythm and blues Get a pair of dancing shoes Get a shot of rhythm and blues Well, with your lover by your side Don't you know you're going to have a lot of pleasure? "
Ask Me Why,The Beatles,586,"{'year': 1963, 'month': 3, 'day': 22}",Please Please Me," I love you 'cause you tell me things I want to know And it's true that it really only goes to show that I know That I, I, I, I should never, never, never be blue  Now you're mine, my happiness still makes me cry And in time, you'll understand the reason why if I cry It's not because I'm sad but you're the only love that I've ever had  I can't believe it's happened to me I can't conceive of any more misery  Ask me why, I'll say I love you and I'm always thinking of you, hoo, hoo, hoo  I love you 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I, I, I, I should never, never, never be blue  Ask me why, I'll say I love you and I'm always thinking of you, hoo, hoo, hoo  I can't believe it's happened to me I can't conceive of any more misery
 Ask me why, I'll say I love you and I'm always thinking of you, hoo, hoo, hoo You, hoo, hoo, hoo, you, hoo, hoo, hoo"
A Taste of Honey,The Beatles,586,"{'year': 1963, 'month': 3, 'day': 22}",Please Please Me," A taste of honey! Tasting much sweeter than wine  I dream of your first kiss, and then I feel upon my lips again  A taste of honey (A taste of honey) Tasting much sweeter than wine  Oh, I will return, yes, I will return I'll come back for the honey and you  Yours was the kiss that awoke my heart There lingers still, though we're far apart  That taste of honey (A taste of honey) Tasting much sweeter than wine  Oh, I will return, yes, I will return I'll come back (He'll come back) for the honey (For the honey) and you"
Baby It’s You,The Beatles,586,"{'year': 1963, 'month': 3, 'day': 22}",Please Please Me," Sha-la-la-la-la-la-la Sha-la-la-la-la-la-la Sha-la-la-la-la-la-la Sha-la-la-la-la  It's not the way you smile that touched my heart ( Sha-la-la-la-la ) It's not the way you kiss that tears me apart  Uh, oh Many, many, many nights go by I sit alone at home and I cry over you What can I do? Can't help myself  'Cause, baby, it's you ( Sha-la-la-la-la-la-la ) Baby, it's you ( Sha-la-la-la-la-la-la ) ( Sha-la-la-la-la )  You should hear what they say about you, ""cheat,"" ""cheat"" ( Sha-la-la-la-la ) They say, they say you never never never ever been true ( Cheat, cheat )
 Uh, oh It doesn't matter what they say I know I'm going to love you any old way What can I do? And it's true Don't want nobody, nobody  'Cause, baby, it's you ( Sha-la-la-la-la-la-la ) Baby, it's you ( Sha-la-la-la-la-la-la )   Uh, oh It doesn't matter what they say I know I'm going to love you any old way What can I do? When it's true Don't want nobody, nobody  'Cause, baby, it's you ( Sha-la-la-la-la-la-la ) Baby, it's you ( Sha-la-la-la-la-la-la )  Don't leave me all alone ( Sha-la-la-la-la-la-la ) Come on home ( Sha-la-la-la-la-la-la ) 'Cause, baby, it's you"
Baby’s in Black,The Beatles,586,"{'year': 1964, 'month': 12, 'day': 4}",Beatles for Sale," Oh, dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh, what can I do?  She thinks of him And so she dresses in black And though he'll never come back She's dressed in black  Oh, dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh, what can I do?  I think of her But she thinks only of him And though it's only a whim She thinks of him  Oh, how long will it take Till she sees the mistake she has made?
 Dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh, what can I do?   Oh, how long will it take Till she sees the mistake she has made?  Dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh, what can I do?  She thinks of him And so she dresses in black And though he'll never come back She's dressed in black  Oh, dear, what can I do? Baby's in black and I'm feeling blue Tell me, oh, what can I do?"
"Baby, You’re a Rich Man",The Beatles,586,"{'year': 1967, 'month': 7, 'day': 7}",Magical Mystery Tour," How does it feel to be one of the beautiful people? Now that you know who you are What do you want to be? And have you traveled very far? Far as the eye can see  How does it feel to be one of the beautiful people? How often have you been there? Often enough to know What did you see when you were there? Nothing that doesn't show  Baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too You keep all your money in a big brown bag inside a zoo What a thing to do Baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too  How does it feel to be one of the beautiful people? Tuned to a natural E Happy to be that way Now that you've found another key What are you going to play?
 Baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too You keep all your money in a big brown bag inside a zoo What a thing to do Baby, baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too Oh, baby, you're a rich man Baby, you're a rich man Baby, baby you're a rich man, too Wow! Wow! Baby, you're a rich man, wow! Baby, you're a rich man, wow! Baby, you're a rich man"
